## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[E14_53319_Columns_S59_ME_L001_sorted.bam] OUTPUT=E14_53319_Columns_S59_ME_L001_dedup.bam METRICS_FILE=E14_53319_Columns_S59_ME_L001_dedup_metrics.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Nov 08 00:51:52 CET 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
E14_53319_Columns_S59_ME_L001	108367	59233670	148643	219933	65978	8443018	5471095	0.142964	468195884

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.095474	43676737	0	47967659
2.0	2.060763	6015174	4149628	2683210
3.0	2.911339	912649	509632	131868
4.0	3.660833	151358	76858	7173
5.0	4.321258	27598	13364	535
6.0	4.903199	5482	2665	107
7.0	5.415983	1207	577	42
8.0	5.867828	312	138	32
9.0	6.265976	83	34	10
10.0	6.616809	26	12	3
11.0	6.92595	10	4	6
12.0	7.198352	7	0	0
13.0	7.438383	2	0	0
14.0	7.649888	0	0	0
15.0	7.836259	0	0	2
16.0	8.000481	1	0	1
17.0	8.145187	3	0	1
18.0	8.272697	0	0	0
19.0	8.385054	0	0	0
20.0	8.484058	1	0	1
21.0	8.571297	0	0	0
22.0	8.648168	0	0	0
23.0	8.715904	0	0	0
24.0	8.77559	0	0	0
25.0	8.828184	0	0	0
26.0	8.874527	0	0	0
27.0	8.915363	0	0	0
28.0	8.951346	0	0	0
29.0	8.983053	0	0	0
30.0	9.010991	0	0	0
31.0	9.03561	0	0	1
32.0	9.057303	1	0	0
33.0	9.076418	1	0	1
34.0	9.093261	0	0	0
35.0	9.108103	0	0	0
36.0	9.121181	0	0	0
37.0	9.132705	0	0	0
38.0	9.142859	0	0	0
39.0	9.151807	0	0	0
40.0	9.159691	0	0	0
41.0	9.166638	0	0	0
42.0	9.17276	0	0	0
43.0	9.178154	0	0	0
44.0	9.182907	0	0	0
45.0	9.187095	0	0	0
46.0	9.190786	0	0	0
47.0	9.194038	0	0	0
48.0	9.196904	0	0	0
49.0	9.199429	0	0	0
50.0	9.201653	0	0	0
51.0	9.203614	0	0	0
52.0	9.205341	0	0	0
53.0	9.206864	0	0	0
54.0	9.208205	0	0	0
55.0	9.209387	0	0	0
56.0	9.210428	0	0	0
57.0	9.211346	0	0	0
58.0	9.212155	0	0	0
59.0	9.212867	0	0	0
60.0	9.213495	0	0	0
61.0	9.214048	0	0	0
62.0	9.214536	0	0	0
63.0	9.214966	0	0	0
64.0	9.215344	0	0	0
65.0	9.215678	0	0	0
66.0	9.215971	0	0	0
67.0	9.21623	0	0	0
68.0	9.216459	0	0	0
69.0	9.21666	0	0	0
70.0	9.216837	0	0	0
71.0	9.216993	0	0	0
72.0	9.217131	0	0	0
73.0	9.217252	0	0	0
74.0	9.217359	0	0	0
75.0	9.217453	0	0	0
76.0	9.217536	0	0	0
77.0	9.217609	0	0	0
78.0	9.217673	0	0	0
79.0	9.21773	0	0	0
80.0	9.21778	0	0	0
81.0	9.217824	0	0	0
82.0	9.217863	0	0	0
83.0	9.217897	0	0	0
84.0	9.217927	0	0	0
85.0	9.217954	0	0	0
86.0	9.217977	0	0	0
87.0	9.217998	0	0	0
88.0	9.218016	0	0	0
89.0	9.218032	0	0	0
90.0	9.218046	0	0	0
91.0	9.218059	0	0	0
92.0	9.218069	0	0	0
93.0	9.218079	0	0	0
94.0	9.218088	0	0	0
95.0	9.218095	0	0	0
96.0	9.218102	0	0	0
97.0	9.218108	0	0	0
98.0	9.218113	0	0	0
99.0	9.218117	0	0	0
100.0	9.218121	0	0	0

