## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[E15_46004_Beads_S61_ME_L001_sorted.bam] OUTPUT=E15_46004_Beads_S61_ME_L001_dedup.bam METRICS_FILE=E15_46004_Beads_S61_ME_L001_dedup_metrics.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Nov 08 01:41:19 CET 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
E15_46004_Beads_S61_ME_L001	118348	60194501	143274	292648	72119	7933419	4567536	0.132265	440929695

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.076642	45459565	0	49080583
2.0	2.015895	5845615	3623193	3007015
3.0	2.835291	810612	377665	163046
4.0	3.550125	120815	49367	9492
5.0	4.17374	19789	7767	736
6.0	4.717776	3652	1475	121
7.0	5.192389	771	304	47
8.0	5.606437	185	66	12
9.0	5.967648	40	16	10
10.0	6.282766	19	5	7
11.0	6.557673	6	1	4
12.0	6.797498	5	0	2
13.0	7.00672	1	0	0
14.0	7.189244	0	0	0
15.0	7.348475	2	0	2
16.0	7.487388	0	0	0
17.0	7.608574	0	0	0
18.0	7.714295	0	0	0
19.0	7.806526	0	0	0
20.0	7.886987	0	0	0
21.0	7.957181	1	0	1
22.0	8.018417	0	0	0
23.0	8.071839	0	0	0
24.0	8.118444	0	0	0
25.0	8.159102	0	0	0
26.0	8.194571	0	0	0
27.0	8.225514	1	0	1
28.0	8.252509	0	0	0
29.0	8.276059	0	0	0
30.0	8.296604	0	0	0
31.0	8.314527	0	0	0
32.0	8.330162	0	0	0
33.0	8.343803	1	0	1
34.0	8.355703	0	0	0
35.0	8.366084	0	0	0
36.0	8.375141	0	0	0
37.0	8.383042	1	0	1
38.0	8.389935	0	0	0
39.0	8.395948	1	0	1
40.0	8.401194	0	0	0
41.0	8.40577	0	0	0
42.0	8.409762	0	0	0
43.0	8.413245	0	0	0
44.0	8.416284	0	0	0
45.0	8.418935	0	0	0
46.0	8.421247	0	0	0
47.0	8.423265	0	0	0
48.0	8.425024	0	0	0
49.0	8.42656	0	0	0
50.0	8.427899	0	0	0
51.0	8.429068	0	0	0
52.0	8.430087	0	0	0
53.0	8.430977	0	0	0
54.0	8.431752	0	0	0
55.0	8.432429	0	0	0
56.0	8.43302	0	0	0
57.0	8.433535	0	0	0
58.0	8.433984	0	0	0
59.0	8.434376	0	0	0
60.0	8.434718	0	0	0
61.0	8.435017	0	0	0
62.0	8.435277	0	0	0
63.0	8.435504	0	0	0
64.0	8.435702	0	0	0
65.0	8.435875	0	0	0
66.0	8.436026	0	0	0
67.0	8.436157	0	0	0
68.0	8.436272	0	0	0
69.0	8.436372	0	0	0
70.0	8.436459	0	0	0
71.0	8.436536	0	0	0
72.0	8.436602	0	0	0
73.0	8.43666	0	0	0
74.0	8.436711	0	0	0
75.0	8.436755	0	0	0
76.0	8.436793	0	0	0
77.0	8.436827	0	0	0
78.0	8.436856	0	0	0
79.0	8.436882	0	0	0
80.0	8.436904	0	0	0
81.0	8.436923	0	0	0
82.0	8.43694	0	0	0
83.0	8.436955	0	0	0
84.0	8.436968	0	0	0
85.0	8.436979	0	0	0
86.0	8.436989	0	0	0
87.0	8.436998	0	0	0
88.0	8.437005	0	0	0
89.0	8.437012	0	0	0
90.0	8.437017	0	0	0
91.0	8.437022	0	0	0
92.0	8.437027	0	0	0
93.0	8.437031	0	0	0
94.0	8.437034	0	0	0
95.0	8.437037	0	0	0
96.0	8.437039	0	0	0
97.0	8.437041	0	0	0
98.0	8.437043	0	0	0
99.0	8.437045	0	0	0
100.0	8.437046	0	0	0

