## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[E14_53319_Promega_S60_ME_L001_sorted.bam] OUTPUT=E14_53319_Promega_S60_ME_L001_dedup.bam METRICS_FILE=E14_53319_Promega_S60_ME_L001_dedup_metrics.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Nov 08 01:17:19 CET 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
E14_53319_Promega_S60_ME_L001	95244	53491253	105611	193436	55795	7677197	4542658	0.143916	365691218

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.086196	39336508	0	42861622
2.0	2.024582	5483536	3489356	2782075
3.0	2.835274	827784	408208	159676
4.0	3.535648	135193	59743	9846
5.0	4.140715	24711	10688	736
6.0	4.663444	4868	2160	68
7.0	5.115042	1083	479	19
8.0	5.505186	263	128	5
9.0	5.842239	78	25	2
10.0	6.133427	16	15	3
11.0	6.384989	12	0	0
12.0	6.60232	0	0	0
13.0	6.790076	0	0	0
14.0	6.952282	0	0	0
15.0	7.092416	0	0	0
16.0	7.21348	0	0	0
17.0	7.31807	0	0	0
18.0	7.408427	0	0	0
19.0	7.486489	0	0	0
20.0	7.553928	0	0	0
21.0	7.61219	0	0	0
22.0	7.662524	1	0	1
23.0	7.706008	0	0	0
24.0	7.743575	0	0	0
25.0	7.77603	0	0	2
26.0	7.804068	1	0	0
27.0	7.828291	0	0	0
28.0	7.849218	1	0	0
29.0	7.867297	0	0	0
30.0	7.882916	0	0	1
31.0	7.896409	1	0	0
32.0	7.908067	0	0	0
33.0	7.918138	0	0	0
34.0	7.926838	0	0	0
35.0	7.934355	0	0	0
36.0	7.940848	0	0	0
37.0	7.946458	0	0	0
38.0	7.951305	0	0	0
39.0	7.955492	0	0	0
40.0	7.95911	0	0	0
41.0	7.962235	0	0	0
42.0	7.964934	0	0	0
43.0	7.967267	0	0	0
44.0	7.969282	0	0	0
45.0	7.971023	0	0	0
46.0	7.972527	0	0	0
47.0	7.973826	0	0	0
48.0	7.974948	0	0	0
49.0	7.975918	0	0	0
50.0	7.976756	0	0	0
51.0	7.97748	0	0	0
52.0	7.978105	0	0	0
53.0	7.978645	0	0	0
54.0	7.979112	0	0	0
55.0	7.979515	0	0	0
56.0	7.979863	0	0	0
57.0	7.980164	0	0	0
58.0	7.980424	0	0	0
59.0	7.980649	0	0	0
60.0	7.980843	0	0	0
61.0	7.981011	0	0	0
62.0	7.981155	0	0	0
63.0	7.98128	0	0	0
64.0	7.981389	0	0	0
65.0	7.981482	0	0	0
66.0	7.981563	0	0	0
67.0	7.981632	0	0	0
68.0	7.981692	0	0	0
69.0	7.981744	0	0	0
70.0	7.981789	0	0	0
71.0	7.981828	0	0	0
72.0	7.981862	0	0	0
73.0	7.981891	0	0	0
74.0	7.981916	0	0	0
75.0	7.981937	0	0	0
76.0	7.981956	0	0	0
77.0	7.981972	0	0	0
78.0	7.981986	0	0	0
79.0	7.981998	0	0	0
80.0	7.982009	0	0	0
81.0	7.982018	0	0	0
82.0	7.982025	0	0	0
83.0	7.982032	0	0	0
84.0	7.982038	0	0	0
85.0	7.982043	0	0	0
86.0	7.982047	0	0	0
87.0	7.982051	0	0	0
88.0	7.982054	0	0	0
89.0	7.982057	0	0	0
90.0	7.982059	0	0	0
91.0	7.982061	0	0	0
92.0	7.982063	0	0	0
93.0	7.982065	0	0	0
94.0	7.982066	0	0	0
95.0	7.982067	0	0	0
96.0	7.982068	0	0	0
97.0	7.982069	0	0	0
98.0	7.98207	0	0	0
99.0	7.982071	0	0	0
100.0	7.982071	0	0	0

