## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[A03061_S27_sorted.bam] OUTPUT=A03061_S27_dedup.bam METRICS_FILE=A03061_S27_dedup_metrics.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 10 21:14:42 CET 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
A03061_S27	49675	14716036	21722	62661	13587	1200817	191976	0.081923	99650256

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.012266	12396383	0	12564130
2.0	1.885558	1042210	186118	896499
3.0	2.638956	71664	2827	51597
4.0	3.288919	4609	53	2838
5.0	3.849649	320	7	141
6.0	4.333396	30	2	14
7.0	4.75073	1	0	0
8.0	5.110768	1	1	0
9.0	5.421376	0	0	0
10.0	5.68934	1	0	0
11.0	5.920516	0	0	0
12.0	6.119954	0	0	0
13.0	6.29201	0	0	0
14.0	6.440446	0	0	0
15.0	6.568502	0	0	0
16.0	6.678977	0	0	0
17.0	6.774286	0	0	0
18.0	6.856509	0	0	0
19.0	6.927444	0	0	0
20.0	6.98864	0	0	0
21.0	7.041435	0	0	0
22.0	7.086982	0	0	0
23.0	7.126275	0	0	0
24.0	7.160174	0	0	0
25.0	7.189419	0	0	0
26.0	7.214648	0	0	0
27.0	7.236414	0	0	0
28.0	7.255192	0	0	0
29.0	7.271392	0	0	0
30.0	7.285367	0	0	0
31.0	7.297424	0	0	0
32.0	7.307826	0	0	0
33.0	7.3168	0	0	0
34.0	7.324541	0	0	0
35.0	7.33122	0	0	0
36.0	7.336982	0	0	0
37.0	7.341953	0	0	0
38.0	7.346241	0	0	0
39.0	7.349941	0	0	0
40.0	7.353132	0	0	0
41.0	7.355886	0	0	0
42.0	7.358261	0	0	0
43.0	7.360311	0	0	0
44.0	7.362079	0	0	0
45.0	7.363604	0	0	0
46.0	7.36492	0	0	0
47.0	7.366055	0	0	0
48.0	7.367034	0	0	0
49.0	7.367879	0	0	0
50.0	7.368608	0	0	0
51.0	7.369237	0	0	0
52.0	7.369779	0	0	0
53.0	7.370247	0	0	0
54.0	7.370651	0	0	0
55.0	7.371	0	0	0
56.0	7.3713	0	0	0
57.0	7.371559	0	0	0
58.0	7.371783	0	0	0
59.0	7.371976	0	0	0
60.0	7.372142	0	0	0
61.0	7.372286	0	0	0
62.0	7.37241	0	0	0
63.0	7.372517	0	0	0
64.0	7.372609	0	0	0
65.0	7.372689	0	0	0
66.0	7.372757	0	0	0
67.0	7.372816	0	0	0
68.0	7.372867	0	0	0
69.0	7.372912	0	0	0
70.0	7.37295	0	0	0
71.0	7.372982	0	0	0
72.0	7.373011	0	0	0
73.0	7.373035	0	0	0
74.0	7.373056	0	0	0
75.0	7.373074	0	0	0
76.0	7.37309	0	0	0
77.0	7.373103	0	0	0
78.0	7.373115	0	0	0
79.0	7.373125	0	0	0
80.0	7.373134	0	0	0
81.0	7.373141	0	0	0
82.0	7.373148	0	0	0
83.0	7.373153	0	0	0
84.0	7.373158	0	0	0
85.0	7.373162	0	0	0
86.0	7.373166	0	0	0
87.0	7.373169	0	0	0
88.0	7.373172	0	0	0
89.0	7.373174	0	0	0
90.0	7.373176	0	0	0
91.0	7.373178	0	0	0
92.0	7.373179	0	0	0
93.0	7.37318	0	0	0
94.0	7.373182	0	0	0
95.0	7.373182	0	0	0
96.0	7.373183	0	0	0
97.0	7.373184	0	0	0
98.0	7.373185	0	0	0
99.0	7.373185	0	0	0
100.0	7.373186	0	0	0

