107376797	0	total (QC-passed reads + QC-failed reads)
107271186	0	primary
0	0	secondary
105611	0	supplementary
0	0	duplicates
0	0	primary duplicates
107183361	0	mapped
99.82%	N/A	mapped %
107077750	0	primary mapped
99.82%	N/A	primary mapped %
107271186	0	paired in sequencing
53635593	0	read1
53635593	0	read2
105368958	0	properly paired
98.23%	N/A	properly paired %
106982506	0	with itself and mate mapped
95244	0	singletons
0.09%	N/A	singletons %
1229052	0	with mate mapped to a different chr
698280	0	with mate mapped to a different chr (mapQ>=5)
