118944283	0	total (QC-passed reads + QC-failed reads)
118795640	0	primary
0	0	secondary
148643	0	supplementary
0	0	duplicates
0	0	primary duplicates
118724350	0	mapped
99.82%	N/A	mapped %
118575707	0	primary mapped
99.81%	N/A	primary mapped %
118795640	0	paired in sequencing
59397820	0	read1
59397820	0	read2
116407006	0	properly paired
97.99%	N/A	properly paired %
118467340	0	with itself and mate mapped
108367	0	singletons
0.09%	N/A	singletons %
1675944	0	with mate mapped to a different chr
1019540	0	with mate mapped to a different chr (mapQ>=5)
